OBJECTID,state_number,nhs_rest_stop,highway_route,mile_post,municipality,county,state,latitude,longitude,number_of_spots,x,y
541,21,I-64 East Franklin/Woodford Rest Area,I-64E,60,NA,Woodford,KY,38.169257,-84.765974,14,-84.7659740002168,38.1692570003085
542,21,I-64 West Franklin/Woodford Rest Area,I-64W,60,NA,Woodford,KY,38.170021,-84.766608,13,-84.7666079997033,38.1700209996854
543,21,I-64 East Shelby County Weigh Station,I-64E,38,Shelbyville,Shelby,KY,38.171,-85.155,6,-85.1549999999891,38.170999999766
544,21,I-64 East Simpsonville Welcome Center,I-64E,29,Simpsonville,Shelby,KY,38.203,-85.329,24,-85.3290000000068,38.2029999998413
545,21,I-64 West Rowan County Rest Area,I-64W,141,NA,Rowan,KY,38.231025,-83.443876,10,-83.4438759996671,38.231025000063
546,21,I-64 East Rowan County Rest Area,I-64E,141,NA,Rowan,KY,38.236677,-83.438787,15,-83.4387869995651,38.2366769998785
547,21,I-75 North Georgetown Rest Area,I-75N,127,NA,Scott,KY,38.248266,-84.54606,46,-84.5460600002016,38.2482660001412
548,21,I-75 South Georgetown Rest Area,I-75S,127,NA,Scott,KY,38.250086,-84.548123,47,-84.5481230001162,38.2500859996763
549,21,I-64 West Rowan County Weigh Station,I-64W,148,NA,Rowan,KY,38.277,-83.343,6,-83.3430000001455,38.2769999998339
550,21,I-75 North Scott County Weigh Station,I-75N,130,NA,Scott,KY,38.294,-84.558,4,-84.5580000000213,38.2940000001005
551,21,I-71 North Oldham County Rest Area,I-71N,13,NA,Oldham,KY,38.338528,-85.516114,13,-85.5161140000042,38.3385279998179
552,21,I-71 South Oldham County Rest Area,I-71S,13,NA,Oldham,KY,38.339321,-85.517903,15,-85.5179030002824,38.3393209997341
553,21,I-64 West Carter County Welcome Center,I-64W,173,NA,Carter,KY,38.352,-82.91,12,-82.9100000002667,38.3519999996483
554,21,I-64 East Carter County Rest Area,I-64E,174,NA,Carter,KY,38.356953,-82.89868,8,-82.8986799996898,38.3569529998114
555,21,I-75 Kenton County Weigh Station/Rest Haven,I-75S,168,Verona,Kenton,KY,38.819199,-84.60081,50,-84.6008100000136,38.8191989999623
556,21,I-71 South Boone County Weigh Station/Rest Haven,I-71S,75,NA,Boone,KY,38.86465,-84.647474,45,-84.6474739998485,38.864650000324
557,21,I-75 North Boone County Rest Area,I-75N,177,NA,Boone,KY,38.937,-84.63,53,-84.6299999996879,38.9369999997282
558,21,I-75 South Boone County Rest Area,I-75S,177,NA,Boone,KY,38.94,-84.634,69,-84.6340000000187,38.9400000003388
559,22,LaPlace Weigh Scale,I-10E,270,LaPlace,St. John the Baptist,LA,30.100128,-90.482427,10,-90.4824270001837,30.1001279997559
560,22,LaPlace Weigh Scale,I-10W,207,LaPlace,St. John the Baptist,LA,30.100455,-90.480762,10,-90.4807619997541,30.1004549998568
561,22,Toomey Rest Area,1-10E,1.4,Toomey,Calcasieu,LA,30.1373,-93.676875,15,-93.6768749999538,30.1373000001837
562,22,Starks Weigh Scale,I-10W,3,Toomey,Calcasieu,LA,30.143621,-93.664537,10,-93.6645369997509,30.143621000267
563,22,Breaux Bridge Weigh Scale,I-10E,108,Breaux Bridge,St. Martin,LA,30.285332,-91.93861,10,-91.9386099996284,30.2853319999581
564,22,Breaux Bridge Weigh Scale,I-10W,107,Breaux Bridge,St. Martin,LA,30.286336,-91.938289,10,-91.9382890001363,30.286335999674
565,22,Slidell I-10 Rest Area,I-10W,1,Slidell,St. Tammany,LA,30.299032,-89.711598,32,-89.7115979999025,30.2990320001075
566,22,Slidell I-59 Rest Area,I-59S,2,Slidell,St. Tammany,LA,30.322347,-89.738273,9,-89.7382729997505,30.3223470003448
567,22,Butte Larose (Atchafalaya) Rest Area,I-10,121,Butte Larose,St. Martin,LA,30.343267,-91.722268,43,-91.7222680003218,30.3432669999151
568,22,Baptist Weigh Scale,I-12E,36,Hammond,Tangipahoa,LA,30.47903,-90.521217,10,-90.5212169997537,30.4790299999411
569,22,Baptist Weigh Scale,I-12W,35,Hammond,Tangipahoa,LA,30.479778,-90.521505,10,-90.5215049996338,30.4797780003559
570,22,Grand Prairie Rest Area,I-49,34,Grand Prairie,St. Landry,LA,30.724258,-92.12035,30,-92.1203500000167,30.7242580001074
571,22,Kentwood Rest Area,I-55S,1,Kentwood,Tangipahoa,LA,30.983121,-90.510206,20,-90.5102059998716,30.9831210001222
572,22,Delta Weigh Scale,I-20E,186,Delta,Madison,LA,32.319566,-90.947757,10,-90.9477569997271,32.3195659996916
573,22,Delta Weigh Scale,I-20W,186,Delta,Madison,LA,32.320296,-90.947871,10,-90.9478710004282,32.3202959999698
574,22,Mound Rest Area,I-20W,185,Mound,Madison,LA,32.325525,-90.98968,13,-90.9896799996146,32.3255249996289
575,22,Greenwood Rest Area,I-20E,2,Greenwood,Caddo,LA,32.450663,-94.001297,25,-94.0012969995753,32.4506630003152
576,22,Greenwood Weigh Scale,I-20E,1,Greenwood,Caddo,LA,32.452101,-94.023184,10,-94.0231839996203,32.4521009997623
577,22,Greenwood Weigh Scale,I-20W,1,Greenwood,Caddo,LA,32.452528,-94.02112,10,-94.0211199998808,32.4525279996783
578,22,Tremont EB Rest Area,I-20W,97,Tremont,Lincoln,LA,32.529096,-92.44871,46,-92.4487100000447,32.5290959996787
579,22,Tremont WB Rest Area,I-20E,95,Tremont,Lincoln,LA,32.532088,-92.473897,47,-92.4738969999135,32.5320880003325
580,25,Cape Cod Visitor Center EB,US 6,70.6,Barnstable,Barnstable,MA,41.686562,-70.288287,11,-70.2882870002563,41.6865620003054
581,25,Rest Area EB/WB,US 6,68.2,Barnstable,Barnstable,MA,41.688198,-70.337797,9,-70.3377970003535,41.6881980002485
582,25,Rest Area WB,US 6,75.6,Yarmouth,Barnstable,MA,41.69159,-70.194119,3,-70.1941190003373,41.6915899997023
583,25,Rest Area WB,US 6,59.4,Sandwich,Barnstable,MA,41.739097,-70.485227,4,-70.4852270001051,41.7390969998908
584,25,Rest Area EB,I-195,37.2,Wareham,Plymouth,MA,41.751233,-70.748954,23,-70.74895399967,41.75123299997
585,25,Rest Area EB,I-195,6,Swansea,Bristol,MA,41.763997,-71.235934,8,-71.2359340003302,41.7639969997526
586,25,Rest Area WB,I-195,6.2,Swansea,Bristol,MA,41.767558,-71.239354,6,-71.2393539998046,41.7675580001481
587,25,Rest Area EB,SR 25,6.4,Plymouth,Plymouth,MA,41.7801,-70.610482,30,-70.6104819999317,41.7800999998222
588,25,Rest Area SB,SR 140,17,Taunton,Bristol,MA,41.84886,-71.02187,3,-71.0218700001251,41.8488599999714
589,25,Rest Area NB,SR 140,17,Taunton,Bristol,MA,41.851733,-71.024547,3,-71.024547000333,41.8517329996963
590,25,Rest Area SB,I-495,11.4,Middleboro,Plymouth,MA,41.876936,-70.90827,3,-70.9082699997129,41.8769359999432
591,25,Service Plaza SB,SR 3,13.4,Plymouth,Plymouth,MA,41.935948,-70.661604,14,-70.6616039998568,41.9359479996737
592,25,Service Plaza NB,SR 24,23.4,Bridgewater,Plymouth,MA,41.956365,-71.025728,8,-71.0257280001657,41.9563650002125
593,25,Service Plaza SB,SR 24,23.6,Bridgewater,Plymouth,MA,41.956365,-71.025728,8,-71.0257280001657,41.9563650002125
594,25,Rest Area SB,I-95,9.2,North Attleboro,Bristol,MA,42.002038,-71.289737,12,-71.2897369997629,42.0020380003015
595,25,Rest Area NB,I-95,9.6,Mansfield,Bristol,MA,42.009425,-71.279426,27,-71.2794260003878,42.009424999915
596,25,Rest Area EB,I-84,1,Sturbridge,Worcester,MA,42.043132,-72.122857,17,-72.1228570000352,42.0431320002878
597,25,Rest Area EB,SR 146,5.2,Uxbridge,Worcester,MA,42.061477,-71.655359,16,-71.6553590000969,42.0614770001338
